species,file,taxonomy,shallow_db,broad_db,mode,uniprot,mcl_test
Toxoplasma_gondii,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Toxoplasma_gondii.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,true
Cryptosporidium_muris,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Cryptosporidium_muris.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,false
Gregarina_niphandrodes,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Gregarina_niphandrodes.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,false
Platyophrya_macrostoma,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Platyophrya_macrostoma.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,false,false
Stentor_coeruleus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Stentor_coeruleus.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,false
Paramecium_tetraurelia,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Paramecium_tetraurelia.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,false
Tetrahymena_thermophila,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Tetrahymena_thermophila.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,false
Oxytricha_trifallax,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Oxytricha_trifallax.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,true
Vitrella_brassicaformis,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Vitrella_brassicaformis.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,true
Colponemidia_sp_Colp-15,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Colponemidia_sp_Colp-15.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,false,true
Hematodinium_sp_SG-2012,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Hematodinium_sp_SG-2012.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,false,false
Oxyrrhis_marina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Oxyrrhis_marina.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,false,false
Amoebophrya_sp_A120,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Amoebophrya_sp_A120.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,true
Perkinsus_marinus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Perkinsus_marinus.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,true,true
Bigelowiella_longifila,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Bigelowiella_longifila.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,true
Paulinella_micropora,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Paulinella_micropora.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,false
Mataza_sp_D1,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Mataza_sp_D1.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,false
Brevimastigomonas_motovehiculus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Brevimastigomonas_motovehiculus.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,false
Plasmodiophora_brassicae,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Plasmodiophora_brassicae.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,true,true
Leptophrys_vorax,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Leptophrys_vorax.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,false
Lapot_gusevi,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Lapot_gusevi.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,false,true
Reticulomyxa_filosa,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Reticulomyxa_filosa.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,true,true
Triparma_laevis,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Triparma_laevis.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,false,false
Chlorochromonas_danica,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Chlorochromonas_danica.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,false,false
Phaeodactylum_tricornutum,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Phaeodactylum_tricornutum.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,false
Nannochloropsis_salina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Nannochloropsis_salina.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,true
Aureococcus_anophagefferens,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Aureococcus_anophagefferens.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,false
Ectocarpus_siliculosus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Ectocarpus_siliculosus.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,false
Chattonella_subsalsa,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Chattonella_subsalsa.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,false,false
Cafeteria_burkhardae,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Cafeteria_burkhardae.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,true
MAST-03A_sp_MAST-3A-sp1,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/MAST-03A_sp_MAST-3A-sp1.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,false,false
Haloplacidia_sp_CaronLabIsolate,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Haloplacidia_sp_CaronLabIsolate.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,false,false
Saprolegnia_diclina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Saprolegnia_diclina.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,true
Hondaea_fermentalgiana,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Hondaea_fermentalgiana.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,true,true
Telonema_subtile,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Telonema_subtile.fasta,Telonemia,alveolata_odb10,eukaryota_odb10,proteins,false,true
Telonema_sp_P-2,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Telonema_sp_P-2.fasta,Telonemia,alveolata_odb10,eukaryota_odb10,proteins,false,false	
